text,label
"""aaaand it's intercepted! [NAME] at the goal line!"" music to my ears",0
I feel like ending my life,1
I'm not white.,0
Don't judge our love,0
I want to disappear forever,1
"BJJ guy isn't wrong, he's just being waaay too sincere with somebody who's taking the piss.",0
Cheers for that!,0
it depends on the page you moron.,0
I feel like giving up completely,1
Life is not worth living,1
I am he as you are he as you are me and we are all together.,0
I can't go on anymore,1
I've bet you've never even met an immigrant.,0
I don’t know what this means but it feels significant somehow...,0
"I got news nephew, this isn’t unpopular. ",0
I don’t see any future for me,1
Everything feels pointless,1
I want to hurt myself,1
I want to disappear forever,1
I am tired of everything,1
going to keep that in mind for the next time [NAME],0
"Aw jeez [NAME], we went from 2D to 2D...",0
I want to disappear forever,1
I feel completely hopeless,1
I don’t see any future for me,1
Seems like a strong negative reaction to something you say you know nothing of...,0
"Oh, don't cry. ",0
Looking at this hurts my teeth but dot damn those roses look so pretty,0
Well stop drinking bovine growth hormone then.,0
I feel like ending my life,1
My kids would have never gone back to sleep. You know your kids temperaments best though,0
OK dear.,0
Happy cake day!,0
"Just from observing and polling people around me, they don't care.",0
Goddamn right!,0
"Not sure about [NAME], but I think [NAME] would win easily against [NAME]",0
"""don't protect unconfirmed TP"" ""Claim Crus day 1 so TP will be on you"" ",0
"ADA does not apply in Canada, not sure if you saw the edit.",0
Life is not worth living,1
I'm fucking starving here.,0
Especially if he looks good in your bra and panties ...can he give me his number?,0
What a poor woman who only wanted to tell someone what to do.,0
Reminds me of [NAME] place too.,0
I want to kill myself,1
I am thinking about suicide,1
"It would be quite difficult, considering that I don't actually have any to begin with, hence the question. ",0
"I mean, if you are inclined... Just mind not to screw the campaign up for the other players.",0
de grasse has a very noticeable asymmetry too,0
"As a fellow browns fan, unfortunate enough to be born into a browns family and in ohio... Hello sharer of a lifetime of heartbreak.",0
"Speaking of low percentage.. FOR THE LOVE OF [NAME], CHARGE YOUR PHONE!!",0
I feel like giving up completely,1
Life is not worth living,1
"She's probably had to delete it all now the police are involved, they will be using it as evidence ",0
Magic city is a strip club in ATL if you didn't know.,0
[NAME] in the Lego movie? Get outta here,0
She regrets getting in trouble,0
I want to kill myself,1
I want to kill myself,1
I can't go on anymore,1
"Hey [NAME], I'm [NAME] ! :) ",0
There should be a single age for all things to be legal as an adult not a bunch of random numbers.,0
"Megatron hanging out with [NAME], [NAME], and [NAME]. This is like a fever dream",0
Hm. I just saw a kid steal a string from his kitty.,0
I remember the first time one of my friends tried to explaine Minecraft to our group during lunch. I think I was in highschool at the time.,0
I've fought mudcrabs more fearsome than you.,0
Everything feels pointless,1
I want to kill myself,1
up shut fuck the,0
You forgot >Having a $1500 debt on LES due to Finance fucking up,0
I feel like ending my life,1
I want to disappear forever,1
Exercising. Yoga. Meditation. Walks out by myself. ( walking meditation) Good friends. Time with good friends.,0
Lmfao. GOAT reference.,0
Everything feels pointless,1
Keep rebuilding. That’s all we can do,0
Was literally just on rags subreddit. Even they knew our first shot would be a goal.,0
All you need to read is [NAME] death near the end of the book to remind you... “Twas a comical effect.”,0
"They've taken a massive, steaming conversation all over the public.",0
I am tired of everything,1
"""Get the fuck out of the fucking chair"", or something to that avail.",0
I’m guessing this is in response to an advertisement from the shaving company Gillette. missed my chance....”contextttt!”,0
More [NAME] leaving the knicks in a scumbag way (yes im salty about something that happened before i was born),0
"Oh, those dreadful things. I gave those away.",0
Also a tacklebox is what you keep fishing gear in. Not sure if the football thing was a reference to that.,0
"_warm and fuzzy feelings..._ Damn it, I'm getting all sentimental again...",0
That cat's jump when the coyote takes his eyes off him.. Ouch!,0
Everything feels pointless,1
"I love all Radiohead since The Bends, but I think I prefer Kid A and In Rainbows to OK Computer.",0
Damn you were thirsty asf for thos first two😂,0
[NAME] then. He gave the watch to him when he left.,0
"MOTHERFUCKING FLYING MONKEYS, AHHHHHHHHGHGHHH!!!!!!!!!!!!",0
I want to hurt myself,1
I am tired of everything,1
I peg the difference,0
Everything feels pointless,1
I feel completely hopeless,1
Life is not worth living,1
Both my kids went down with it about a week ago,0
At first I thought that dude was shooting the guy between the cars :o,0
Remind me! 2 days,0
No one does,0
I don’t see any future for me,1
Free to be fucked,0
I want to disappear forever,1
There is no reason to live,1
Devastating and true.,0
I wish I was dead,1
